class,date,lat,lng,boxe_top_left_x,boxe_top_left_y,boxe_bottom_right_x,boxe_bottom_right_y,orientation,image
0,2023-09-15 15:37:49,43.51342880752717,7.0454304461293225,2.3390694,2795.819,63.99139,2916.072,-87.4,Zone_2_2pm_4.jpeg
0,2023-09-15 15:37:49,43.50966686874029,7.049362114072478,4091.4224,0.0,4151.114,78.50475,-87.4,Zone_2_2pm_4.jpeg
0,2023-09-15 15:37:49,43.513133011609554,7.044570875513871,292.3003,3487.0508,336.49597,3561.1992,-87.4,Zone_2_2pm_4.jpeg
0,2023-09-15 15:37:49,43.51288078329817,7.045063121445666,577.0719,3123.727,615.2589,3199.0112,-87.4,Zone_2_2pm_4.jpeg
0,2023-09-15 15:37:49,43.5119460226763,7.045294905392269,1557.7734,2968.7756,1614.7422,3089.3655,-87.4,Zone_2_2pm_4.jpeg
0,2023-09-15 15:37:49,43.50981390802551,7.046311745189356,3846.2993,2324.6318,3877.609,2387.8115,-87.4,Zone_2_2pm_4.jpeg
0,2023-09-15 15:37:49,43.50957180184962,7.044914607862439,4050.1301,3402.5515,4084.0432,3461.9392,-87.4,Zone_2_2pm_4.jpeg
0,2023-09-15 15:37:49,43.50956600935187,7.046444083227413,4110.951,2231.9844,4142.994,2302.7222,-87.4,Zone_2_2pm_4.jpeg
0,2023-09-15 15:37:49,43.509338478915026,7.046963658696279,4364.578,1842.8751,4402.3867,1921.278,-87.4,Zone_2_2pm_4.jpeg
0,2023-09-15 15:37:49,43.50945501097081,7.045935203752999,4157.5464,2633.19,4292.8833,2688.4604,-87.4,Zone_2_2pm_4.jpeg
0,2023-09-15 15:37:49,43.5092214873345,7.0475156892767385,4510.5806,1442.9402,4540.387,1492.2864,-87.4,Zone_2_2pm_4.jpeg
0,2023-09-15 15:37:49,43.50954768635577,7.045569764258079,4100.182,2905.3408,4130.9624,2964.5596,-87.4,Zone_2_2pm_4.jpeg
0,2023-09-15 15:37:49,43.51036686481836,7.045036769646986,3224.2512,3287.3271,3247.8708,3315.503,-87.4,Zone_2_2pm_4.jpeg
0,2023-09-15 15:37:49,43.51341470541828,7.044886623731263,0.0,3159.9321,58.42413,3381.9053,-87.4,Zone_2_2pm_4.jpeg
0,2023-09-15 15:37:49,43.50963500711248,7.045215160377612,3996.3442,3169.3906,4026.4849,3232.5537,-87.4,Zone_2_2pm_4.jpeg
0,2023-09-15 15:37:49,43.509323305926706,7.047485688323659,4402.914,1467.1223,4431.8535,1504.1743,-87.4,Zone_2_2pm_4.jpeg
0,2023-09-15 15:37:49,43.509275419978614,7.047476873723712,4450.1577,1454.469,4484.9146,1533.5696,-87.4,Zone_2_2pm_4.jpeg
0,2023-09-15 15:37:49,43.5120743349258,7.044508533322827,1407.2184,3597.3774,1441.2965,3648.0,-87.4,Zone_2_2pm_4.jpeg
0,2023-09-15 15:37:49,43.5104238592651,7.0451198288906856,3160.4033,3199.2356,3198.733,3271.1853,-87.4,Zone_2_2pm_4.jpeg
0,2023-09-15 15:37:49,43.51041280865725,7.04501551735776,3173.2231,3302.2642,3202.2349,3328.109,-87.4,Zone_2_2pm_4.jpeg
0,2023-09-15 15:37:49,43.50946876605153,7.045196693298351,4161.8438,3191.506,4208.707,3253.4597,-87.4,Zone_2_2pm_4.jpeg
0,2023-09-15 15:37:49,43.51040226913989,7.0451290559738045,3183.5798,3192.247,3220.946,3267.167,-87.4,Zone_2_2pm_4.jpeg
0,2023-09-15 15:37:49,43.509974278685156,7.046267577765197,3682.7148,2369.1758,3701.0664,2395.317,-87.4,Zone_2_2pm_4.jpeg
0,2023-09-15 15:37:49,43.5104144891339,7.045124353212871,3172.6855,3194.2183,3206.996,3271.186,-87.4,Zone_2_2pm_4.jpeg
0,2023-09-15 15:37:49,43.509244330310686,7.0474866956026565,4484.594,1449.9421,4515.515,1527.3376,-87.4,Zone_2_2pm_4.jpeg
0,2023-09-15 15:37:49,43.50938376627349,7.045881912709257,4285.0566,2683.8174,4312.3887,2726.0332,-87.4,Zone_2_2pm_4.jpeg
