                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.96029,                0.73663,                 1.0873,                0.90546,                0.79347,                0.86607,                0.63911,                0.77256,                0.85718,                0.97448,              0.0093466,              0.0093466,              0.0093466
                     36,                0.95354,                 0.7259,                 1.0877,                0.89638,                0.80638,                 0.8693,                0.64208,                0.76671,                0.69495,                0.97209,              0.0093268,              0.0093268,              0.0093268
                     37,                0.96143,                0.73106,                 1.0865,                0.90873,                0.80614,                0.87644,                0.64761,                0.76329,                0.58714,                 0.9718,               0.009307,               0.009307,               0.009307
                     38,                 0.9404,                0.72039,                 1.0785,                0.91382,                0.81088,                0.87801,                0.64789,                0.75848,                0.55797,                0.96854,              0.0092872,              0.0092872,              0.0092872
                     39,                 0.9478,                0.70765,                 1.0802,                0.90501,                0.81433,                 0.8807,                0.65909,                0.76333,                0.77226,                0.96137,              0.0092674,              0.0092674,              0.0092674
                     40,                0.94412,                0.71661,                 1.0758,                0.91299,                0.82077,                0.88757,                0.66934,                  0.744,                0.79154,                0.95383,              0.0092476,              0.0092476,              0.0092476
                     41,                0.93225,                 0.6983,                 1.0689,                0.91338,                0.82403,                0.88949,                0.67216,                0.74311,                 0.5853,                0.95631,              0.0092278,              0.0092278,              0.0092278
                     42,                0.93111,                 0.6891,                 1.0732,                0.91622,                0.82205,                 0.8901,                0.67121,                0.73233,                0.63912,                0.95238,               0.009208,               0.009208,               0.009208
                     43,                0.94137,                0.71242,                 1.0788,                0.91618,                0.81673,                0.89007,                0.67795,                0.73006,                0.63546,                0.94937,              0.0091882,              0.0091882,              0.0091882
                     44,                0.93565,                0.70198,                 1.0768,                0.91878,                0.82777,                0.89365,                0.68016,                0.73295,                0.56729,                0.94988,              0.0091684,              0.0091684,              0.0091684
                     45,                0.92487,                0.68883,                 1.0698,                0.92274,                0.81595,                 0.8892,                0.67072,                0.73489,                0.64938,                0.95209,              0.0091486,              0.0091486,              0.0091486
                     46,                0.91931,                0.68667,                 1.0665,                 0.9334,                0.81542,                0.88723,                0.66745,                0.73393,                0.86772,                0.95501,              0.0091288,              0.0091288,              0.0091288
                     47,                0.91905,                0.68059,                 1.0676,                0.91423,                0.82595,                0.89115,                0.68015,                0.72261,                0.63344,                0.94658,               0.009109,               0.009109,               0.009109
                     48,                 0.9208,                0.67502,                 1.0638,                0.92888,                0.84063,                  0.901,                0.68798,                0.71994,                0.62534,                0.94399,              0.0090892,              0.0090892,              0.0090892
                     49,                 0.9197,                0.67382,                 1.0584,                0.93423,                0.83176,                0.89807,                0.68535,                0.71256,                0.55505,                0.94072,              0.0090694,              0.0090694,              0.0090694
                     50,                0.91723,                0.67148,                 1.0634,                0.92752,                0.83098,                0.89884,                0.68772,                0.71729,                0.61164,                 0.9448,              0.0090496,              0.0090496,              0.0090496
                     51,                0.91487,                0.66868,                 1.0625,                0.94417,                0.83742,                0.90816,                0.70631,                0.69887,                0.60997,                0.93096,              0.0090298,              0.0090298,              0.0090298
                     52,                0.89881,                0.65341,                 1.0544,                0.94337,                0.84104,                0.90828,                0.70059,                0.70548,                0.54851,                 0.9364,                0.00901,                0.00901,                0.00901
                     53,                  0.901,                0.66077,                 1.0569,                0.93004,                0.84055,                0.90216,                0.70184,                 0.7016,                 0.5287,                0.93531,              0.0089902,              0.0089902,              0.0089902
                     54,                0.90265,                 0.6567,                 1.0535,                0.93874,                0.85206,                0.91267,                0.70595,                0.69839,                0.58643,                0.92719,              0.0089704,              0.0089704,              0.0089704
                     55,                0.90476,                0.65772,                 1.0581,                0.94424,                0.84134,                0.91094,                0.71014,                0.68784,                0.62635,                0.92409,              0.0089506,              0.0089506,              0.0089506
                     56,                0.89992,                0.66845,                 1.0561,                0.93775,                0.84188,                0.91053,                0.71452,                0.68339,                0.55465,                 0.9209,              0.0089308,              0.0089308,              0.0089308
                     57,                0.89808,                0.65739,                 1.0618,                0.93602,                0.84708,                 0.9113,                0.71677,                0.68219,                0.59401,                0.92373,               0.008911,               0.008911,               0.008911
                     58,                0.89398,                0.65156,                 1.0542,                0.92727,                 0.8592,                0.91742,                0.72283,                0.67555,                 0.4594,                0.92065,              0.0088912,              0.0088912,              0.0088912
                     59,                 0.8932,                0.65501,                 1.0579,                0.94108,                0.84716,                0.91425,                 0.7228,                0.67081,                  0.598,                0.91472,              0.0088714,              0.0088714,              0.0088714
                     60,                0.90261,                0.65993,                 1.0583,                0.94924,                0.85271,                0.91878,                0.72781,                0.67197,                0.57528,                0.91803,              0.0088516,              0.0088516,              0.0088516
                     61,                0.88919,                0.65107,                 1.0565,                0.94826,                0.85647,                0.91997,                0.72483,                0.66588,                0.48078,                0.91366,              0.0088318,              0.0088318,              0.0088318
                     62,                 0.8794,                0.63055,                 1.0494,                0.95224,                0.85312,                0.92349,                0.73442,                0.66181,                0.49755,                0.91069,               0.008812,               0.008812,               0.008812
                     63,                 0.8889,                0.63851,                 1.0481,                0.94564,                0.86124,                0.92195,                0.73399,                0.66237,                0.51344,                0.91268,              0.0087922,              0.0087922,              0.0087922
                     64,                0.88252,                0.63172,                  1.043,                0.94929,                0.86555,                0.92566,                0.73841,                0.65671,                 0.4815,                0.90843,              0.0087724,              0.0087724,              0.0087724
                     65,                 0.8796,                0.63686,                 1.0456,                0.95238,                0.86087,                0.92472,                0.74041,                0.64898,                0.48962,                0.90805,              0.0087526,              0.0087526,              0.0087526
                     66,                0.86805,                 0.6225,                 1.0372,                0.95432,                0.85791,                 0.9257,                0.74397,                0.64983,                 0.4739,                0.90622,              0.0087328,              0.0087328,              0.0087328
                     67,                0.88033,                0.63079,                 1.0437,                0.94254,                0.87285,                0.92557,                0.73953,                0.64692,                0.54531,                 0.9045,               0.008713,               0.008713,               0.008713
                     68,                0.86954,                0.62372,                 1.0396,                0.94874,                0.87553,                0.92779,                0.75093,                0.63919,                0.44606,                0.90227,              0.0086932,              0.0086932,              0.0086932
                     69,                 0.8629,                0.61799,                 1.0427,                0.95351,                 0.8675,                0.92752,                0.74831,                0.63524,                0.45862,                0.89948,              0.0086734,              0.0086734,              0.0086734
                     70,                0.87468,                 0.6221,                 1.0374,                0.94403,                0.87605,                0.92919,                0.74859,                0.63385,                0.47512,                0.89896,              0.0086536,              0.0086536,              0.0086536
                     71,                0.86826,                0.62044,                  1.037,                0.94934,                0.87865,                0.93266,                0.75362,                0.63365,                0.49249,                0.89865,              0.0086338,              0.0086338,              0.0086338
                     72,                0.86429,                0.61902,                 1.0382,                0.95132,                0.87496,                0.93231,                0.75582,                0.63512,                0.45692,                0.89824,               0.008614,               0.008614,               0.008614
                     73,                 0.8585,                0.61124,                 1.0341,                0.95664,                0.87461,                0.93237,                0.76191,                0.62453,                 0.4301,                0.89221,              0.0085942,              0.0085942,              0.0085942
                     74,                0.85243,                0.61368,                 1.0362,                 0.9473,                0.88037,                0.93465,                0.76091,                0.61876,                0.43767,                0.89187,              0.0085744,              0.0085744,              0.0085744
                     75,                 0.8533,                0.61549,                  1.035,                 0.9544,                0.87678,                0.93338,                0.76604,                0.61581,                0.44975,                0.89155,              0.0085546,              0.0085546,              0.0085546
                     76,                0.85571,                0.61021,                 1.0316,                0.95079,                0.88299,                 0.9339,                0.76674,                0.61137,                0.43301,                0.88752,              0.0085348,              0.0085348,              0.0085348
                     77,                0.84741,                0.59928,                 1.0248,                0.95586,                0.88183,                0.93418,                0.76252,                0.61337,                0.46031,                0.88528,               0.008515,               0.008515,               0.008515
                     78,                0.84326,                0.58628,                 1.0228,                0.95346,                0.88982,                0.93771,                 0.7731,                0.60368,                0.43055,                0.88262,              0.0084952,              0.0084952,              0.0084952
                     79,                0.84924,                 0.6018,                 1.0279,                0.95735,                0.88674,                0.93769,                0.77326,                0.59967,                  0.419,                0.88032,              0.0084754,              0.0084754,              0.0084754
                     80,                0.84676,                0.60061,                 1.0336,                0.95983,                0.88027,                0.93767,                0.77823,                0.59703,                0.43029,                0.87697,              0.0084556,              0.0084556,              0.0084556
                     81,                0.85071,                0.59971,                 1.0306,                0.95373,                0.89428,                0.94076,                 0.7779,                0.60195,                0.41125,                0.88006,              0.0084358,              0.0084358,              0.0084358
                     82,                0.84027,                0.58034,                 1.0267,                0.95248,                0.89265,                0.94161,                0.78345,                 0.5928,                0.41374,                0.87818,               0.008416,               0.008416,               0.008416
                     83,                0.83265,                0.59125,                 1.0242,                0.95573,                0.89057,                0.94053,                0.78126,                0.59361,                0.41556,                0.87742,              0.0083962,              0.0083962,              0.0083962
                     84,                0.83551,                0.58952,                 1.0268,                0.95755,                0.89483,                0.94293,                0.78363,                0.59076,                0.43281,                0.87531,              0.0083764,              0.0083764,              0.0083764
                     85,                0.83071,                0.57486,                 1.0177,                0.96728,                0.89075,                0.94332,                0.78594,                0.58447,                0.40791,                0.87031,              0.0083566,              0.0083566,              0.0083566
                     86,                0.83505,                0.59119,                 1.0265,                0.96374,                0.89403,                0.94477,                0.79002,                0.58173,                 0.4011,                 0.8704,              0.0083368,              0.0083368,              0.0083368
                     87,                0.83272,                0.59691,                 1.0198,                0.96214,                0.89562,                0.94359,                0.79209,                0.57584,                0.42843,                0.86774,               0.008317,               0.008317,               0.008317
                     88,                0.82549,                0.57758,                 1.0146,                0.96539,                0.89355,                0.94363,                0.79223,                0.57734,                0.41139,                0.86795,              0.0082972,              0.0082972,              0.0082972
                     89,                0.82917,                0.58559,                 1.0196,                0.96451,                0.89032,                0.94244,                0.79094,                0.57603,                0.40456,                0.86702,              0.0082774,              0.0082774,              0.0082774
                     90,                0.82301,                0.57525,                 1.0201,                0.96828,                 0.8951,                0.94512,                0.79423,                0.57177,                0.39465,                0.86627,              0.0082576,              0.0082576,              0.0082576
                     91,                0.82521,                0.58147,                 1.0178,                 0.9618,                0.90158,                0.94574,                0.79657,                0.56925,                0.38432,                0.86376,              0.0082378,              0.0082378,              0.0082378
                     92,                0.82921,                0.58415,                 1.0148,                0.96757,                0.89765,                0.94728,                0.79948,                0.57153,                 0.3878,                0.86486,               0.008218,               0.008218,               0.008218
                     93,                0.82091,                0.57021,                 1.0139,                0.96973,                0.89894,                0.94778,                0.80189,                0.56586,                0.38338,                0.86249,              0.0081982,              0.0081982,              0.0081982
                     94,                0.81655,                0.57876,                 1.0178,                0.97068,                0.90232,                0.94747,                0.80392,                0.56487,                0.37809,                0.86059,              0.0081784,              0.0081784,              0.0081784
                     95,                0.81296,                0.56279,                 1.0096,                0.96702,                0.90225,                0.94795,                0.80732,                0.56061,                 0.3632,                0.85772,              0.0081586,              0.0081586,              0.0081586
                     96,                0.82356,                0.57883,                 1.0203,                0.96824,                0.90431,                0.94938,                0.80594,                0.56185,                0.37157,                0.85951,              0.0081388,              0.0081388,              0.0081388
                     97,                0.81352,                0.56866,                 1.0107,                0.97356,                0.90162,                0.95039,                0.80759,                0.55633,                0.37293,                0.85708,               0.008119,               0.008119,               0.008119
                     98,                0.82316,                0.57521,                 1.0226,                0.96802,                0.90468,                 0.9499,                0.81238,                0.54955,                0.36799,                0.85319,              0.0080992,              0.0080992,              0.0080992
                     99,                0.81923,                0.57242,                 1.0105,                0.97023,                0.90611,                0.95046,                 0.8128,                0.54928,                0.36282,                0.85404,              0.0080794,              0.0080794,              0.0080794
                    100,                0.81439,                0.56985,                  1.013,                 0.9744,                 0.9048,                0.95025,                0.81014,                0.54894,                0.36283,                0.85309,              0.0080596,              0.0080596,              0.0080596
                    101,                0.80655,                0.56303,                 1.0083,                0.97121,                0.90541,                0.95173,                0.81408,                0.54415,                 0.3564,                0.85019,              0.0080398,              0.0080398,              0.0080398
                    102,                0.81133,                0.56845,                 1.0096,                0.96953,                0.91124,                0.95261,                0.81573,                0.54055,                0.35731,                0.84862,                0.00802,                0.00802,                0.00802
                    103,                0.80604,                0.55838,                 1.0057,                0.97296,                0.90752,                0.95287,                0.81709,                 0.5367,                0.35508,                0.84724,              0.0080002,              0.0080002,              0.0080002
                    104,                0.80527,                0.56014,                 1.0089,                0.97779,                0.90532,                0.95338,                0.81697,                0.53696,                0.35676,                0.84732,              0.0079804,              0.0079804,              0.0079804
                    105,                 0.8031,                0.56172,                 1.0084,                0.97557,                0.90695,                0.95308,                0.81953,                 0.5338,                0.35676,                0.84557,              0.0079606,              0.0079606,              0.0079606
